0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:02:18 +0530] "POST /GossipBackEnd/unfriendFriend HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:02:19 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:55 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:56 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:57 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:57 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:57 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:58 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:58 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:58 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:07:58 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:08:01 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:08:01 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:08:02 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:08:02 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:08:03 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:11 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:11 +0530] "GET /GossipFrontEnd/FriendsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:11 +0530] "GET /GossipFrontEnd/Friends.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:11 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:12 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:16 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:17 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:17 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:19 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:19 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:19 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:19 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:20 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:27 +0530] "GET /GossipFrontEnd/Forum.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:28 +0530] "GET /GossipBackEnd/fetchAllForums HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:29 +0530] "GET /GossipFrontEnd/%7B%7Bx.profilePicUrl%7D%7D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Feb/2018:13:10:29 +0530] "GET /GossipBackEnd/fetchAllFriends HTTP/1.1" 200 817
