127.0.0.1 - - [29/Jan/2018:10:25:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:27:23 +0530] "GET /GossipBackEnd/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:28:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:28:30 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:28:32 +0530] "GET /GossipFrontEnd/ProfileController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:28:32 +0530] "GET /GossipFrontEnd/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:28:32 +0530] "GET /GossipFrontEnd/App.js HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:28:53 +0530] "GET /GossipFrontEnd/Profile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:29:13 +0530] "POST /GossipBackEnd/showProfileData HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:29:35 +0530] "GET /GossipFrontEnd/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:29:53 +0530] "POST /GossipBackEnd/showProfileData HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:31:37 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:20 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:20 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:21 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:21 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:22 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:39 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:43 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:37:43 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:21 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:21 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:23 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:23 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:24 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:25 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:26 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:26 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:26 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:46 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:47 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:47 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:48 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:49 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:50 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:50 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:50 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:51 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:51 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:51 +0530] "GET /GossipFrontEnd/ HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:39:51 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:40:53 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:40:53 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:10:40:53 +0530] "GET /GossipFrontEnd/Blog.html HTTP/1.1" 304 -
